frame,dt,speedKmh,throttleRaw,throttleSmoothed,vehicleSpeedFeedbackKmh,engineRpmFeedback,currentGear,targetGear,requestsShift,lastShiftDirection,timeSinceLastShiftS,kickdownActive,throttleDeltaHistory,engineRpm,upshiftSpeed,downshiftSpeed,twinState,clutchPressure
1,0.016000,4.932,1.0000,1.0000,4.932,533.3,1,1,0,0,0.0160,1,1.0000,607.1,70.000,0.000,3,0.0000
2,0.016000,5.055,1.0000,1.0000,5.055,546.7,1,1,0,0,0.0320,1,1.0000,622.2,70.000,0.000,3,1.0000
3,0.016000,5.178,1.0000,1.0000,5.178,560.0,1,1,0,0,0.0480,1,1.0000,637.4,70.000,0.000,3,1.0000
4,0.016000,5.301,1.0000,1.0000,5.301,573.3,1,1,0,0,0.0640,1,1.0000,652.5,70.000,0.000,3,1.0000
5,0.016000,5.424,1.0000,1.0000,5.424,586.7,1,1,0,0,0.0800,1,1.0000,667.7,70.000,0.000,3,1.0000
6,0.016000,5.547,1.0000,1.0000,5.547,600.0,1,1,0,0,0.0960,1,1.0000,682.8,70.000,0.000,3,1.0000
7,0.016000,5.671,1.0000,1.0000,5.671,613.3,1,1,0,0,0.1120,1,0.0000,698.0,70.000,0.000,3,1.0000
8,0.016000,5.794,1.0000,1.0000,5.794,626.7,1,1,0,0,0.1280,1,0.0000,713.1,70.000,0.000,3,1.0000
9,0.016000,5.917,1.0000,1.0000,5.917,640.0,1,1,0,0,0.1440,1,0.0000,728.3,70.000,0.000,3,1.0000
10,0.016000,6.040,1.0000,1.0000,6.040,653.3,1,1,0,0,0.1600,1,0.0000,743.4,70.000,0.000,3,1.0000
11,0.016000,6.163,1.0000,1.0000,6.163,666.7,1,1,0,0,0.1760,1,0.0000,758.6,70.000,0.000,3,1.0000
12,0.016000,6.286,1.0000,1.0000,6.286,680.0,1,1,0,0,0.1920,1,0.0000,773.7,70.000,0.000,3,1.0000
13,0.016000,6.409,1.0000,1.0000,6.409,693.3,1,1,0,0,0.2080,1,0.0000,788.9,70.000,0.000,3,1.0000
14,0.016000,6.532,1.0000,1.0000,6.532,706.7,1,1,0,0,0.2240,1,0.0000,804.0,70.000,0.000,3,1.0000
15,0.016000,6.655,1.0000,1.0000,6.655,720.0,1,1,0,0,0.2400,1,0.0000,819.2,70.000,0.000,3,1.0000
16,0.016000,6.778,1.0000,1.0000,6.778,733.3,1,1,0,0,0.2560,1,0.0000,834.3,70.000,0.000,3,1.0000
17,0.016000,6.901,1.0000,1.0000,6.901,746.7,1,1,0,0,0.2720,1,0.0000,849.5,70.000,0.000,3,1.0000
18,0.016000,7.024,1.0000,1.0000,7.024,760.0,1,1,0,0,0.2880,1,0.0000,864.6,70.000,0.000,3,1.0000
19,0.016000,7.148,1.0000,1.0000,7.148,773.3,1,1,0,0,0.3040,1,0.0000,879.8,70.000,0.000,3,1.0000
20,0.016000,7.271,1.0000,1.0000,7.271,786.7,1,1,0,0,0.3200,1,0.0000,894.9,70.000,0.000,3,1.0000
21,0.016000,7.394,1.0000,1.0000,7.394,947.9,1,1,0,0,0.3360,1,0.0000,910.1,70.000,0.000,3,1.0000
22,0.016000,7.517,1.0000,1.0000,7.517,950.3,1,1,0,0,0.3520,1,0.0000,925.2,70.000,0.000,3,1.0000
23,0.016000,7.640,1.0000,1.0000,7.640,952.8,1,1,0,0,0.3680,1,0.0000,940.4,70.000,0.000,3,1.0000
24,0.016000,7.763,1.0000,1.0000,7.763,955.3,1,1,0,0,0.3840,1,0.0000,955.5,70.000,0.000,3,1.0000
